"symbol","source_hit"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'grid_vertex' out of bounds (1..%zu)."", n_vertices);"
"S_compute_vertex_geodesic_stats","src/init.c	  {""S_compute_vertex_geodesic_stats"", (DL_FUNC) &S_compute_vertex_geodesic_stats, 8},"
"S_gfassoc_membership","src/gfassoc_r.cpp	SEXP S_gfassoc_membership("
"S_gfassoc_membership","src/gfassoc_r.cpp	    SEXP s_y_membership = PROTECT(S_gfassoc_membership(s_y_lmax_basins, s_y_lmin_basins, s_n_vertices));"
"S_gfassoc_membership","src/gfassoc_r.cpp	    SEXP s_z_membership = PROTECT(S_gfassoc_membership(s_z_lmax_basins, s_z_lmin_basins, s_n_vertices));"
"S_gfassoc_membership","src/init.c	  {""S_gfassoc_membership"",      (DL_FUNC) &S_gfassoc_membership,      3},"
"S_gfassoc_polarity","src/gfassoc_r.cpp	SEXP S_gfassoc_polarity("
"S_gfassoc_polarity","src/gfassoc_r.cpp	    SEXP s_pol_y = PROTECT(S_gfassoc_polarity(s_y_hat, s_y_membership, s_polarity_scale, s_epsilon));"
"S_gfassoc_polarity","src/gfassoc_r.cpp	    SEXP s_pol_z = PROTECT(S_gfassoc_polarity(s_z_hat, s_z_membership, s_polarity_scale, s_epsilon));"
"S_gfassoc_polarity","src/init.c	  {""S_gfassoc_polarity"",        (DL_FUNC) &S_gfassoc_polarity,        4},"
"S_gfassoc_overlap","src/gfassoc_r.cpp	SEXP S_gfassoc_overlap("
"S_gfassoc_overlap","src/gfassoc_r.cpp	    SEXP s_overlap = PROTECT(S_gfassoc_overlap(s_y_membership, s_z_membership, s_vertex_mass));"
"S_gfassoc_overlap","src/init.c	  {""S_gfassoc_overlap"",         (DL_FUNC) &S_gfassoc_overlap,         3},"
"S_gfassoc_deviation","src/gfassoc_r.cpp	SEXP S_gfassoc_deviation("
"S_gfassoc_deviation","src/init.c	  {""S_gfassoc_deviation"",       (DL_FUNC) &S_gfassoc_deviation,       1},"
"S_gfassoc_basin_character","src/gfassoc_r.cpp	SEXP S_gfassoc_basin_character("
"S_gfassoc_basin_character","src/gfassoc_r.cpp	    SEXP s_basin_char = PROTECT(S_gfassoc_basin_character("
"S_gfassoc_basin_character","src/init.c	  {""S_gfassoc_basin_character"", (DL_FUNC) &S_gfassoc_basin_character, 5},"
"S_compute_gfc_flow","src/gfc_flow_r.cpp	SEXP S_compute_gfc_flow("
"S_compute_gfc_flow","src/gfc_flow_r.cpp	SEXP S_compute_gfc_flow_matrix("
"S_compute_gfc_flow","src/init.c	  {""S_compute_gfc_flow"",        (DL_FUNC) &S_compute_gfc_flow,        6},"
"S_compute_gfc_flow","src/init.c	  {""S_compute_gfc_flow_matrix"", (DL_FUNC) &S_compute_gfc_flow_matrix, 7},"
"S_compute_gfc_flow_matrix","src/gfc_flow_r.cpp	SEXP S_compute_gfc_flow_matrix("
"S_compute_gfc_flow_matrix","src/init.c	  {""S_compute_gfc_flow_matrix"", (DL_FUNC) &S_compute_gfc_flow_matrix, 7},"
"S_gfcor","src/gfassoc_r.cpp	SEXP S_gfcor("
"S_gfcor","src/init.c	  {""S_gfcor"",                   (DL_FUNC) &S_gfcor,                   8},"
"S_find_gflow_basins","src/gflow_basins_r.cpp	    SEXP S_find_gflow_basins("
"S_find_gflow_basins","src/gflow_basins_r.cpp	SEXP S_find_gflow_basins("
"S_find_gflow_basins","src/init.c	  {""S_find_gflow_basins"", (DL_FUNC) &S_find_gflow_basins, 6},"
"S_find_local_extrema","src/gflow_basins_r.cpp	    SEXP S_find_local_extrema("
"S_find_local_extrema","src/gflow_basins_r.cpp	SEXP S_find_local_extrema("
"S_find_local_extrema","src/init.c	  {""S_find_local_extrema"", (DL_FUNC) &S_find_local_extrema, 4},"
"S_create_gflow_cx","src/gflow_cx_r.cpp		SEXP S_create_gflow_cx("
"S_create_gflow_cx","src/gflow_cx_r.cpp	SEXP S_create_gflow_cx("
"S_create_gflow_cx","src/init.c	  {""S_create_gflow_cx"", (DL_FUNC) &S_create_gflow_cx, 12},"
"S_join_graphs","src/graph_utils.cpp	SEXP S_join_graphs(SEXP Rgraph1, SEXP Rgraph2, SEXP Ri1, SEXP Ri2) {"
"S_join_graphs","src/graph_utils.cpp	        Rf_error(""S_join_graphs(): Rgraph1 must be a list (adjacency list)."");"
"S_join_graphs","src/graph_utils.cpp	        Rf_error(""S_join_graphs(): Rgraph2 must be a list (adjacency list)."");"
"S_join_graphs","src/graph_utils.cpp	        Rf_error(""S_join_graphs(): i1 and i2 must be valid integers (not NA)."");"
"S_join_graphs","src/graph_utils.cpp	        Rf_error(""S_join_graphs(): i1 and i2 must be non-negative."");"
"S_join_graphs","src/graph_utils.cpp	        Rf_error(""S_join_graphs(): join_graphs() returned null."");"
"S_join_graphs","src/init.c	  {""S_join_graphs"", (DL_FUNC) &S_join_graphs, 4},"
"S_construct_graph_gradient_flow","src/graph_gradient_flow.cpp	    SEXP S_construct_graph_gradient_flow("
"S_construct_graph_gradient_flow","src/graph_gradient_flow.cpp	        Rf_error(""S_construct_graph_gradient_flow(): %s length (%lld) exceeds INT_MAX or is negative"","
"S_construct_graph_gradient_flow","src/graph_gradient_flow.cpp	SEXP S_construct_graph_gradient_flow("
"S_construct_graph_gradient_flow","src/init.c	  {""S_construct_graph_gradient_flow"", (DL_FUNC) &S_construct_graph_gradient_flow, 6},"
"S_create_maximal_packing","src/graph_maximal_packing_r.cpp	    SEXP S_create_maximal_packing(SEXP s_adj_list,"
"S_create_maximal_packing","src/graph_maximal_packing_r.cpp	SEXP S_create_maximal_packing(SEXP s_adj_list,"
"S_create_maximal_packing","src/init.c	  {""S_create_maximal_packing"", (DL_FUNC) &S_create_maximal_packing, 5},"
"S_graph_MS_cx_using_short_h_hops","src/graph_MS_cx.cpp	    SEXP S_graph_MS_cx_using_short_h_hops(SEXP s_graph,"
"S_graph_MS_cx_using_short_h_hops","src/graph_MS_cx.cpp	SEXP S_graph_MS_cx_using_short_h_hops(SEXP s_graph,"
"S_graph_MS_cx_using_short_h_hops","src/init.c	  {""S_graph_MS_cx_using_short_h_hops"", (DL_FUNC) &S_graph_MS_cx_using_short_h_hops, 4},"
"S_graph_MS_cx_with_path_search","src/graph_MS_cx.cpp	    SEXP S_graph_MS_cx_with_path_search(SEXP s_graph, SEXP s_core_graph, SEXP s_Ey);"
"S_graph_MS_cx_with_path_search","src/graph_MS_cx.cpp	SEXP S_graph_MS_cx_with_path_search(SEXP s_graph, SEXP s_core_graph, SEXP s_Ey) {"
"S_graph_MS_cx_with_path_search","src/init.c	  {""S_graph_MS_cx_with_path_search"", (DL_FUNC) &S_graph_MS_cx_with_path_search, 3},"
"S_graph_constrained_gradient_flow_trajectories","src/graph_MS_cx.cpp	    SEXP S_graph_constrained_gradient_flow_trajectories(SEXP s_graph, SEXP s_core_graph, SEXP s_Ey);"
"S_graph_constrained_gradient_flow_trajectories","src/graph_MS_cx.cpp	SEXP S_graph_constrained_gradient_flow_trajectories(SEXP s_graph, SEXP s_core_graph, SEXP s_Ey) {"
"S_graph_constrained_gradient_flow_trajectories","src/init.c	  {""S_graph_constrained_gradient_flow_trajectories"", (DL_FUNC) &S_graph_constrained_gradient_flow_trajectories, 3},"
"S_shortest_path","src/graph_shortest_path.cpp	    SEXP S_shortest_path(SEXP s_graph, SEXP s_edge_lengths, SEXP s_vertices);"
"S_shortest_path","src/graph_shortest_path.cpp	 * result <- .Call(""S_shortest_path"", graph, edge_lengths, vertices)"
"S_shortest_path","src/graph_shortest_path.cpp	SEXP S_shortest_path(SEXP s_graph, SEXP s_edge_lengths, SEXP s_vertices) {"
"S_shortest_path","src/init.c	  {""S_shortest_path"", (DL_FUNC) &S_shortest_path, 3},"
"S_shortest_path","src/SEXP_cpp_conversion_utils.cpp	 * @see S_shortest_path for an example of how this function is used in"
"S_graph_spectrum_plus","src/graph_spectrum.cpp	SEXP S_graph_spectrum_plus(SEXP Rgraph, SEXP Rnev, SEXP Rreturn_dense) {"
"S_graph_spectrum_plus","src/init.c	  {""S_graph_spectrum_plus"", (DL_FUNC) &S_graph_spectrum_plus, 3},"
"S_graph_spectrum","src/graph_spectrum.cpp	SEXP S_graph_spectrum(SEXP Rgraph, SEXP Rnev) {"
"S_graph_spectrum","src/graph_spectrum.cpp	 * S_graph_spectrum"
"S_graph_spectrum","src/graph_spectrum.cpp	SEXP S_graph_spectrum_plus(SEXP Rgraph, SEXP Rnev, SEXP Rreturn_dense) {"
"S_graph_spectrum","src/init.c	  {""S_graph_spectrum"", (DL_FUNC) &S_graph_spectrum, 2},"
"S_graph_spectrum","src/init.c	  {""S_graph_spectrum_plus"", (DL_FUNC) &S_graph_spectrum_plus, 3},"
"S_wgraph_prune_long_edges","src/init.c	  {""S_wgraph_prune_long_edges"", (DL_FUNC) &S_wgraph_prune_long_edges, 5},"
"S_wgraph_prune_long_edges","src/pruning_long_edges.cpp	SEXP S_wgraph_prune_long_edges(SEXP s_adj_list,"
"S_convert_adjacency_to_edge_matrix","src/graph_utils.cpp	SEXP S_convert_adjacency_to_edge_matrix(SEXP s_graph, SEXP s_weights) {"
"S_convert_adjacency_to_edge_matrix","src/graph_utils.cpp	SEXP S_convert_adjacency_to_edge_matrix_set(SEXP s_graph) {"
"S_convert_adjacency_to_edge_matrix","src/graph_utils.cpp	SEXP S_convert_adjacency_to_edge_matrix_unordered_set(SEXP s_graph) {"
"S_convert_adjacency_to_edge_matrix","src/init.c	  {""S_convert_adjacency_to_edge_matrix"", (DL_FUNC) &S_convert_adjacency_to_edge_matrix, 2},"
