"symbol","source_hit"
"S_create_sknn_graph","src/sknn_graphs.cpp	extern ""C"" SEXP S_create_sknn_graph(SEXP s_X,"
"S_ssrhe_hessian_operator","src/init.c	  {""S_ssrhe_hessian_operator"", (DL_FUNC) &S_ssrhe_hessian_operator, 13},"
"S_ssrhe_hessian_operator","src/ssrhe_hessian_energy_r.h	SEXP S_ssrhe_hessian_operator("
"S_ssrhe_hessian_operator","src/ssrhe_hessian_energy.cpp	extern ""C"" SEXP S_ssrhe_hessian_operator("
"S_ecdf","src/cpp_stats_utils.cpp	    SEXP S_ecdf(SEXP x);"
"S_ecdf","src/cpp_stats_utils.cpp	  # Assuming the shared library containing S_ecdf is loaded"
"S_ecdf","src/cpp_stats_utils.cpp	  result <- S_ecdf(x)"
"S_ecdf","src/cpp_stats_utils.cpp	SEXP S_ecdf(SEXP x) {"
"S_ecdf","src/init.c	  {""S_ecdf"", (DL_FUNC) &S_ecdf, 1},"
"S_cluster_cell_trajectories","src/init.c	  {""S_cluster_cell_trajectories"", (DL_FUNC) &S_cluster_cell_trajectories, 12},"
"S_cluster_cell_trajectories","src/traj_clustering_r.cpp	extern ""C"" SEXP S_cluster_cell_trajectories(SEXP s_traj_list,"
"S_cluster_cell_trajectories","src/traj_clustering_r.cpp	        Rf_error(""S_cluster_cell_trajectories: %s"", e.what());"
"S_cluster_cell_trajectories","src/traj_clustering_r.cpp	        Rf_error(""S_cluster_cell_trajectories: unknown error"");"
"S_compute_tube_lens_corridor","src/init.c	  {""S_compute_tube_lens_corridor"", (DL_FUNC) &S_compute_tube_lens_corridor, 7},"
"S_compute_tube_lens_corridor","src/tube_lens_corridor.cpp	extern ""C"" SEXP S_compute_tube_lens_corridor("
"S_ulogit","src/init.c	  {""S_ulogit"", (DL_FUNC) &S_ulogit, 8},"
"S_ulogit","src/ulogit.cpp	    SEXP S_ulogit(SEXP x_sexp,"
"S_ulogit","src/ulogit.cpp	 * result <- .Call(""S_ulogit"","
"S_ulogit","src/ulogit.cpp	SEXP S_ulogit(SEXP x_sexp,"
"S_eigen_ulogit","src/init.c	  {""S_eigen_ulogit"", (DL_FUNC) &S_eigen_ulogit, 8},"
"S_eigen_ulogit","src/ulogit.cpp	    SEXP S_eigen_ulogit(SEXP x_sexp,"
"S_eigen_ulogit","src/ulogit.cpp	SEXP S_eigen_ulogit(SEXP x_sexp,"
"S_create_uniform_grid_graph","src/init.c	  {""S_create_uniform_grid_graph"", (DL_FUNC) &S_create_uniform_grid_graph, 5},"
"S_create_uniform_grid_graph","src/uniform_grid_graph.cpp	    SEXP S_create_uniform_grid_graph(SEXP s_input_adj_list,"
"S_create_uniform_grid_graph","src/uniform_grid_graph.cpp	SEXP S_create_uniform_grid_graph(SEXP s_adj_list,"
"S_compute_vertex_density","src/init.c	  {""S_compute_vertex_density"",  (DL_FUNC) &S_compute_vertex_density, 3},"
"S_compute_vertex_density","src/vertex_density_r.cpp	extern ""C"" SEXP S_compute_vertex_density("
