"file","symbol","raw"
"R/mean_shift_smoother.R","S_mean_shift_data_smoother","        result <- .Call(""S_mean_shift_data_smoother"",                         X,                         as.integer(k),                         as.integer(density.k),                         as.integer(n.steps),"
"R/mean_shift_smoother.R","S_mean_shift_data_smoother_with_grad_field_averaging","        result <- .Call(""S_mean_shift_data_smoother_with_grad_field_averaging"",                        X,                        as.integer(k),                        as.integer(density.k),                        as.integer(n.steps),"
"R/mean_shift_smoother.R","S_mean_shift_data_smoother_adaptive","        result <- .Call(""S_mean_shift_data_smoother_adaptive"",                        X,                        as.integer(k),                        as.integer(density.k),                        as.integer(n.steps),"
"R/metric_graph_lowpass.R","S_metric_graph_lowpass_operator","    out <- .Call(         ""S_metric_graph_lowpass_operator"",         graph$adj.list.0based,         graph$weight.list.cpp,         args$conductance.rule,"
"R/metric_graph_lowpass.R","S_metric_graph_lowpass_spectrum","    raw <- .Call(         ""S_metric_graph_lowpass_spectrum"",         graph$adj.list.0based,         graph$weight.list.cpp,         args$conductance.rule,"
"R/mknn_graphs.R","S_create_mknn_graph","    result <- .Call(""S_create_mknn_graph"",                     X,                     as.integer(k + 1))   raw.adj.list <- result$adj_list   raw.weight.list <- result$weight_list"
"R/mknn_graphs.R","S_create_mknn_graphs","    result <- .Call(""S_create_mknn_graphs"",                     X,                     as.integer(kmin + 1),                     as.integer(kmax + 1),                     as.double(max.path.edge.ratio.thld + 1.0),"
"R/mst_completion_graphs.R","S_create_mst_completion_graph","    result <- .Call(""S_create_mst_completion_graph"",                     X,                     as.double(q.thld),                     as.logical(verbose)) "
"R/nerve_cx.R","S_create_nerve_complex","    result <- .Call(""S_create_nerve_complex"",                     X,                     as.integer(k + 1), # Note that ANN library is configured so that it includes the query point within the set of kNN's so we need to increase k by 1 to really get kNN's                     as.integer(max.dim)) "
"R/nerve_cx.R","S_set_function_values","    .Call(""S_set_function_values"",           complex$complex_ptr,           as.numeric(values))    return(invisible(complex))"
"R/nerve_cx.R","S_set_weight_scheme","    .Call(""S_set_weight_scheme"",           complex$complex_ptr,           weight.type,           as.numeric(params)) "
"R/nerve_cx.R","S_solve_full_laplacian","    result <- .Call(""S_solve_full_laplacian"",                     complex$complex_ptr,                     as.numeric(lambda),                     as.numeric(dim.weights)) "
"R/nerve_cx.R","S_get_simplex_counts","    .Call(""S_get_simplex_counts"",           complex$complex_ptr) }  #' Extract 1-Skeleton Graph from Nerve Complex"
