"file","symbol","raw"
"R/graph_generators.R","S_join_graphs","    joined.graph <- .Call(""S_join_graphs"",                     graph1,                     graph2,                     as.integer(i1 - 1),                     as.integer(i2 - 1))"
"R/graph_gradient_flow.R","S_construct_graph_gradient_flow","    result <- .Call(""S_construct_graph_gradient_flow"",                     adj.list.0based,                     weight.list,                     y,                     scale,"
"R/graph_maximal_packing.R","S_create_maximal_packing","  result <- .Call(""S_create_maximal_packing"",                   adj.list.0based,                   weight.list,                   as.integer(grid.size),                   as.integer(max.iterations),"
"R/graph_MS_cx.R","S_graph_MS_cx_using_short_h_hops","        results <- .Call(""S_graph_MS_cx_using_short_h_hops"",                          graph.0based,                          hop.list,                          core.graph.0based,                          Ey)"
"R/graph_MS_cx.R","S_graph_MS_cx_with_path_search","        results <- .Call(""S_graph_MS_cx_with_path_search"",                          graph.0based,                          core.graph.0based,                          Ey)     }"
"R/graph_MS_cx.R","S_graph_constrained_gradient_flow_trajectories","    res <- .Call(""S_graph_constrained_gradient_flow_trajectories"",                  graph.0based,                  core.graph.0based,                  Ey) "
"R/graph_shortest_path.R","S_shortest_path","    res <- .Call(""S_shortest_path"",                  graph.0based,                  edge.lengths,                  vertices.0based)     return(res)"
"R/graph_spectrum.R","S_graph_spectrum_plus","      ans <- .Call(""S_graph_spectrum_plus"",                    graph.0,                    as.integer(nev),                    as.logical(return.dense))     if (isTRUE(return.dense)) {"
"R/graph_spectrum.R","S_graph_spectrum","      ans <- .Call(""S_graph_spectrum"",                    graph.0,                    as.integer(nev))     return(list(evalues = ans$evalues, evectors = ans$evectors))   }"
"R/graph_utils.R","S_wgraph_prune_long_edges","    result <- .Call(""S_wgraph_prune_long_edges"",                     graph.0based,                     edge.lengths,                     as.numeric(alt.path.len.ratio.thld),                     as.logical(use.total.length.constraint),"
"R/graph_utils.R","S_convert_adjacency_to_edge_matrix","    return(.Call(""S_convert_adjacency_to_edge_matrix"",                  adj.list,                  weights.list,                  PACKAGE = ""gflow"")) }"
"R/graph_utils.R","S_graph_connected_components","    result <- .Call(""S_graph_connected_components"",                     adj.list.0based)      ## Check the result     if (!is.integer(result) || length(result) != length(adj.list)) {"
"R/harmonic_extension.R","S_compute_harmonic_extension","    result <- .Call(         S_compute_harmonic_extension,         adj.list.0based,         weight.list,         trajectory.0based,"
"R/harmonic_extension.R","S_select_max_density_trajectory","    result <- .Call(         S_select_max_density_trajectory,         trajectories.0based,         as.numeric(density),         PACKAGE = ""gflow"""
