"function_name","file"
"nn.distance.ratio.estimator","R/divergences.R"
"nn.divergence","R/divergences.R"
"wasserstein.distance","R/divergences.R"
"wasserstein.divergence","R/divergences.R"
"extract.optimal.Lp.graph","R/extract_optimal_Lp_graph.R"
"analyze.extracted.clusters","R/extract_stable_clusters.R"
"compute.cluster.gaps","R/extract_stable_clusters.R"
"extract.cluster.members","R/extract_stable_clusters.R"
"extract.stable.clusters","R/extract_stable_clusters.R"
"plot_cluster_extraction_diagnostics","R/extract_stable_clusters.R"
"compute.extrema.hop.nbhds","R/extrema_utils.R"
"extrema.summary","R/extrema_utils.R"
"get.nbrs","R/extrema_utils.R"
"label.extrema.3d","R/extrema_utils.R"
"label.extrema.leaders.3d","R/extrema_utils.R"
"relabel.extrema","R/extrema_utils.R"
"analyze.dbscan.noise","R/extremality_utils.R"
"cluster.extrema.graph.aware","R/extremality_utils.R"
"compare.representative.methods","R/extremality_utils.R"
"compute_cluster_stats","R/extremality_utils.R"
"compute.cluster.summary","R/extremality_utils.R"
"compute.dbscan.cluster.summary","R/extremality_utils.R"
"compute.extrema.geodesic.distances","R/extremality_utils.R"
"extract.cluster.representatives","R/extremality_utils.R"
"extract.dbscan.cluster.representatives","R/extremality_utils.R"
"extremality.summary","R/extremality_utils.R"
"label.extremality.3d","R/extremality_utils.R"
"select_representative","R/extremality_utils.R"
"compute.diff.profiles","R/fassoc_test.R"
"create.delta1.Delta1.df","R/fassoc_test.R"
"delta.indices","R/fassoc_test.R"
"fassoc.test","R/fassoc_test.R"
"print.fassoc","R/fassoc_test.R"
"summary.fassoc","R/fassoc_test.R"
"total.associations","R/fassoc_test.R"
"coef.assoc0","R/fassoc0_test_paired.R"
"fassoc0.test","R/fassoc0_test_paired.R"
"plot.assoc0","R/fassoc0_test_paired.R"
"print.assoc0","R/fassoc0_test_paired.R"
"print.summary.assoc0","R/fassoc0_test_paired.R"
"summary.assoc0","R/fassoc0_test_paired.R"
"coef.assoc1","R/fassoc1_test_paired.R"
"extract.derivatives","R/fassoc1_test_paired.R"
"extract.derivatives.assoc1","R/fassoc1_test_paired.R"
"fassoc1.test","R/fassoc1_test_paired.R"
"plot.assoc1","R/fassoc1_test_paired.R"
"print.assoc1","R/fassoc1_test_paired.R"
"print.summary.assoc1","R/fassoc1_test_paired.R"
"summary.assoc1","R/fassoc1_test_paired.R"
"filter.basins.by.relvalue","R/filter_basins_by_relvalue.R"
"print_basin_filter_info","R/filter_basins_by_relvalue.R"
"filter.basins","R/filter_basins.R"
"print_basin_filter_info","R/filter_basins.R"
"find.discrepant.pairs","R/find_discrepant_pairs.R"
"find.shortest.paths.within.radius","R/find_shortest_paths_within_radius.R"
"fit.rho.randomwalk","R/fit_rho_randomwalk.R"
"analyze.function.aware.weights","R/fn_graphs.R"
"construct.function.aware.graph","R/fn_graphs.R"
"function.aware.weights.plot","R/fn_graphs.R"
"generate.mixed.points","R/generate_knn_example_data.R"
"mixed.points.plot","R/generate_knn_example_data.R"
"geodesic.core.endpoints","R/geodesic_core_endpoints.R"
".graph.component.count","R/geodesic_iknn_graphs.R"
".summarize.geodesic.graph","R/geodesic_iknn_graphs.R"
".summarize.iterated.iknn.graphs","R/geodesic_iknn_graphs.R"
".validate.geodesic.iknn.input","R/geodesic_iknn_graphs.R"
"create.geodesic.iknn.graph","R/geodesic_iknn_graphs.R"
"create.iterated.iknn.graphs","R/geodesic_iknn_graphs.R"
"summary.iterated_iknn_graphs","R/geodesic_iknn_graphs.R"
"compute.geodesic.stats","R/geodesic_stats.R"
"compute.vertex.geodesic.stats","R/geodesic_stats.R"
"overlap.distribution.plot","R/geodesic_stats.R"
"plot.geodesic_stats","R/geodesic_stats.R"
"plot.vertex_geodesic_stats","R/geodesic_stats.R"
"print.geodesic_stats","R/geodesic_stats.R"
"summarize_overlap_statistics","R/geodesic_stats.R"
"summary.geodesic_stats","R/geodesic_stats.R"
"summary.vertex_geodesic_stats","R/geodesic_stats.R"
"create.tubular.nbhd.of.a.geodesic","R/geodesics.R"
"dist.to.knn","R/geodesics.R"
"E.geodesic.F","R/geodesics.R"
"E.geodesic.X","R/geodesics.R"
"estimate_density","R/geodesics.R"
"estimate.geodesic.distances","R/geodesics.R"
"euclidean.distance","R/geodesics.R"
"fig.E.geodesic.F","R/geodesics.R"
"geodesic.knn","R/geodesics.R"
"geodesic.knnx","R/geodesics.R"
"get.subj.ids","R/geodesics.R"
"get.subj.ids.fixed3","R/geodesics.R"
"graph.adj.mat","R/geodesics.R"
"o.inv.fn","R/geodesics.R"
"path.dist","R/geodesics.R"
"path.length","R/geodesics.R"
"smooth.PL.geodesic","R/geodesics.R"
"subdivide.path","R/geodesics.R"
"subdivide.path.v1","R/geodesics.R"
"subj.D.risk","R/geodesics.R"
"subj.factor.ppmEy.profs.df","R/geodesics.R"
"subj.factor.signEy.profs","R/geodesics.R"
"vars.approx.monotonically.assoc.with.geodesic","R/geodesics.R"
"gfassoc.basin.character","R/gfassoc_utils.R"
"gfassoc.deviation","R/gfassoc_utils.R"
"gfassoc.membership","R/gfassoc_utils.R"
"gfassoc.overlap","R/gfassoc_utils.R"
"gfassoc.polarity","R/gfassoc_utils.R"
".build.summary.all","R/gfc_flow.R"
